條碼,品號,品名,類別,通路,份數,包數,份數價格,包數價格,商品結帳價
4710586221039.0,D50300002,1P-02高麗野蔬雞蓉大寶寶粥150g,冷凍粥飯,吉寶通路,1,2,119.0,59.5,59.5
4710586221053.0,D50300003,1P-03豚未香菇豆腐大寶寶粥150g,冷凍粥飯,吉寶通路,1,2,119.0,59.5,59.5
4710586221077.0,D50300004,1P-04蔬菜鮭魚大寶寶粥150g,冷凍粥飯,吉寶通路,1,2,119.0,59.5,59.5
4710586221091.0,D50300005,1P-05元氣牛肉大寶寶粥150g,冷凍粥飯,吉寶通路,1,2,119.0,59.5,59.5
4710586221114.0,D50300006,1P-06絲瓜鱸魚大寶寶粥150g,冷凍粥飯,吉寶通路,1,2,119.0,59.5,59.5
4710586221138.0,D50300007,1P-07百蔬蛋黃大寶寶粥150g,冷凍粥飯,吉寶通路,1,2,119.0,59.5,59.5
4710586221152.0,D50300008,1P-08鮮魚野蕈大寶寶粥150g,冷凍粥飯,吉寶通路,1,2,119.0,59.5,59.5
4710586221176.0,D50300009,1P-09粉紅豬豬大寶寶粥150g,冷凍粥飯,吉寶通路,1,2,119.0,59.5,59.5
4710586221190.0,D50300010,1P-10四季春雞大寶寶粥150g,冷凍粥飯,吉寶通路,1,2,119.0,59.5,59.5
4710586221213.0,D50300011,1P-11紫金雞蓉大寶寶粥150g,冷凍粥飯,吉寶通路,1,2,119.0,59.5,59.5
4710586221237.0,D50300012,1P-12青花菇蕈大寶寶粥150g,冷凍粥飯,吉寶通路,1,2,119.0,59.5,59.5
4710586221251.0,D50300013,1P-13芹香牛奶魚大寶寶粥150g,冷凍粥飯,吉寶通路,1,2,119.0,59.5,59.5
4710586221275.0,D50300014,1P-14五彩雙嬌牛肉大寶寶粥150g,冷凍粥飯,吉寶通路,1,2,119.0,59.5,59.5
4710586221299.0,D50300015,1P-15紫玉豆豆雞蓉大寶寶粥150g,冷凍粥飯,吉寶通路,1,2,119.0,59.5,59.5
4710586221312.0,D50300016,1P-16豚末針菇大寶寶粥150g,冷凍粥飯,吉寶通路,1,2,119.0,59.5,59.5
4710586221336.0,D50300017,1P-17甘栗瓜瓜魚肉大寶寶粥150g,冷凍粥飯,吉寶通路,1,2,119.0,59.5,59.5
4710586221350.0,D50300018,1P-18蕃茄時蔬嫰雞大寶寶粥150g,冷凍粥飯,吉寶通路,1,2,119.0,59.5,59.5
4710586221022.0,D50400001,1P-01金黃根莖雞蓉大寶寶粥200g,冷凍粥飯,吉寶通路,1,2,142.0,71.0,71.0
4710586221046.0,D50400002,1P-02高麗野蔬雞蓉大寶寶粥200g,冷凍粥飯,吉寶通路,1,2,142.0,71.0,71.0
4710586221060.0,D50400003,1P-03豚未香菇豆腐大寶寶粥200g,冷凍粥飯,吉寶通路,1,2,142.0,71.0,71.0
4710586221084.0,D50400004,1P-04蔬菜鮭魚大寶寶粥200g,冷凍粥飯,吉寶通路,1,2,142.0,71.0,71.0
4710586221107.0,D50400005,1P-05元氣牛肉大寶寶粥200g,冷凍粥飯,吉寶通路,1,2,142.0,71.0,71.0
4710586221121.0,D50400006,1P-06絲瓜鱸魚大寶寶粥200g,冷凍粥飯,吉寶通路,1,2,142.0,71.0,71.0
4710586221145.0,D50400007,1P-07百蔬蛋黃大寶寶粥200g,冷凍粥飯,吉寶通路,1,2,142.0,71.0,71.0
4710586221169.0,D50400008,1P-08鮮魚野蕈大寶寶粥200g,冷凍粥飯,吉寶通路,1,2,142.0,71.0,71.0
4710586221183.0,D50400009,1P-09粉紅豬豬大寶寶粥200g,冷凍粥飯,吉寶通路,1,2,142.0,71.0,71.0
4710586221206.0,D50400010,1P-10四季春雞大寶寶粥200g,冷凍粥飯,吉寶通路,1,2,142.0,71.0,71.0
4710586221220.0,D50400011,1P-11紫金雞蓉大寶寶粥200g,冷凍粥飯,吉寶通路,1,2,142.0,71.0,71.0
4710586221244.0,D50400012,1P-12青花菇蕈大寶寶粥200g,冷凍粥飯,吉寶通路,1,2,142.0,71.0,71.0
4710586221268.0,D50400013,1P-13芹香牛奶魚大寶寶粥200g,冷凍粥飯,吉寶通路,1,2,142.0,71.0,71.0
4710586221282.0,D50400014,1P-14五彩雙嬌牛肉大寶寶粥200g,冷凍粥飯,吉寶通路,1,2,142.0,71.0,71.0
4710586221305.0,D50400015,1P-15紫玉豆豆雞蓉大寶寶粥200g,冷凍粥飯,吉寶通路,1,2,142.0,71.0,71.0
4710586221329.0,D50400016,1P-16豚末針菇大寶寶粥200g,冷凍粥飯,吉寶通路,1,2,142.0,71.0,71.0
4710586221343.0,D50400017,1P-17甘栗瓜瓜魚肉大寶寶粥200g,冷凍粥飯,吉寶通路,1,2,142.0,71.0,71.0
4710586221367.0,D50400018,1P-18蕃茄時蔬嫰雞大寶寶粥200g,冷凍粥飯,吉寶通路,1,2,142.0,71.0,71.0
4710586221510.0,D50500004,2-1醬燒什錦豬肉,冷凍粥飯,吉寶通路,1,2,103.0,51.5,51.5
4710586221527.0,D50500005,2-2鮮奶起司鮭魚,冷凍粥飯,吉寶通路,1,2,103.0,51.5,51.5
4710586221534.0,D50500006,2-3馬鈴薯燉牛肉,冷凍粥飯,吉寶通路,1,2,103.0,51.5,51.5
4710586221602.0,D50500007,2-4塔香虱目魚,冷凍粥飯,吉寶通路,1,2,103.0,51.5,51.5
4710586221541.0,D50500008,2-5咖哩雞肉,冷凍粥飯,吉寶通路,1,2,103.0,51.5,51.5
4710586221558.0,D50500009,2-6奶香南瓜雞肉,冷凍粥飯,吉寶通路,1,2,103.0,51.5,51.5
4710586221565.0,D50500010,2-7香菇豆腐雞肉煲,冷凍粥飯,吉寶通路,1,2,103.0,51.5,51.5
4710586221572.0,D50500011,2-8洋蔥魚片,冷凍粥飯,吉寶通路,1,2,103.0,51.5,51.5
4710586221589.0,D50500012,2-9金黃鮮燴絲瓜,冷凍粥飯,吉寶通路,1,2,103.0,51.5,51.5
4710586221596.0,D50500013,2-10百菇鮮豚,冷凍粥飯,吉寶通路,1,2,103.0,51.5,51.5
4710586221619.0,D50500014,2-11香甜玉米雞肉,冷凍粥飯,吉寶通路,1,2,103.0,51.5,51.5
4710586221817.0,D50600001,2-S1和風豚肉燉飯,冷凍粥飯,吉寶通路,1,2,142.0,71.0,71.0
4710586221824.0,D50600002,2-S2綠意什錦豬肉燉飯,冷凍粥飯,吉寶通路,1,2,142.0,71.0,71.0
4710586221831.0,D50600003,2-S3白醬魚片燉飯,冷凍粥飯,吉寶通路,1,2,142.0,71.0,71.0
4710586221848.0,D50600004,2-S4秋葵茄雞燉飯,冷凍粥飯,吉寶通路,1,2,142.0,71.0,71.0
4710586221855.0,D50600005,2-S5香菇雞湯燉飯,冷凍粥飯,吉寶通路,1,2,142.0,71.0,71.0
4710586221862.0,D50600006,2-S6羅宋牛肉燉飯,冷凍粥飯,吉寶通路,1,2,142.0,71.0,71.0
4710586221879.0,D50600007,2-S7鮭魚鮮燴燉飯,冷凍粥飯,吉寶通路,1,2,142.0,71.0,71.0
4710586221886.0,D50600008,2-S8豆豆美人燉飯,冷凍粥飯,吉寶通路,1,2,142.0,71.0,71.0
4710586221893.0,D50600009,2-S9蒜香蝦蝦燉飯,冷凍粥飯,吉寶通路,1,2,142.0,71.0,71.0
4710586221930.0,D50600010,2-S10五彩鮮魚燉飯,冷凍粥飯,吉寶通路,1,2,142.0,71.0,71.0
4710586221947.0,D50600011,S11田園雞肉燉飯,冷凍粥飯,吉寶通路,1,2,142.0,71.0,71.0
4710586221923.0,D50600012,2-M3青醬海陸義麵,冷凍粥飯,吉寶通路,1,2,142.0,71.0,71.0
4710586223019.0,D50500001,2-M寶貝義大利麵,冷凍粥飯,吉寶通路,1,2,63.0,31.5,31.5
4710586223026.0,D50500003,2-F寶貝米飯,冷凍粥飯,吉寶通路,1,2,63.0,31.5,31.5
4710586224078.0,E51010001,2-D01後元彩虹水餃,冷凍粥飯,吉寶通路,1,1,0.0,0.0,0.0
4710586224085.0,E51010002,2-D02寶寶後元饅頭,冷凍粥飯,吉寶通路,1,1,0.0,0.0,0.0
4710586224092.0,E51010003,2-D03寶寶後元蘿蔔糕,冷凍粥飯,吉寶通路,1,1,0.0,0.0,0.0
4710586223002.0,E52010007,寶寶豬肉鬆,冷凍粥飯,吉寶通路,1,1,0.0,0.0,0.0
4710586222012.0,D50700001,3-3蔬菜高湯,冷凍粥飯,吉寶通路,1,2,47.0,23.5,23.5
,D50100001,0-1純米泥,冷凍粥飯,炫兔團,1,4,119.0,29.75,29.75
,D50100002,0-2南瓜米泥,冷凍粥飯,炫兔團,1,4,119.0,29.75,29.75
,D50100003,0-3地瓜米泥,冷凍粥飯,炫兔團,1,4,119.0,29.75,29.75
,D50100004,0-4馬鈴薯米泥,冷凍粥飯,炫兔團,1,4,119.0,29.75,29.75
,D50100005,0-5紅蘿蔔米泥,冷凍粥飯,炫兔團,1,4,119.0,29.75,29.75
,D50100006,0-6甜菜根米泥,冷凍粥飯,炫兔團,1,4,119.0,29.75,29.75
,D50100007,0-7山藥米泥,冷凍粥飯,炫兔團,1,4,119.0,29.75,29.75
,D50100008,0-8青江菜米泥,冷凍粥飯,炫兔團,1,4,119.0,29.75,29.75
,D50100009,0-9小松葉米泥,冷凍粥飯,炫兔團,1,4,119.0,29.75,29.75
,D50100010,0-10青花椰菜米泥,冷凍粥飯,炫兔團,1,4,119.0,29.75,29.75
,D50100011,0-11高麗菜米泥,冷凍粥飯,炫兔團,1,4,119.0,29.75,29.75
,D50100012,0-12黑木耳米泥,冷凍粥飯,炫兔團,1,4,119.0,29.75,29.75
,D50100013,0-13洋蔥米泥,冷凍粥飯,炫兔團,1,4,119.0,29.75,29.75
,D50100015,0-15蘋果米泥,冷凍粥飯,炫兔團,1,4,119.0,29.75,29.75
,D50100016,0-16水梨米泥,冷凍粥飯,炫兔團,1,4,119.0,29.75,29.75
,D50100017,0-17雞肉米泥,冷凍粥飯,炫兔團,1,4,119.0,29.75,29.75
,D50100018,0-18豬肉米泥,冷凍粥飯,炫兔團,1,4,119.0,29.75,29.75
,D50100019,0-19鯛魚米泥,冷凍粥飯,炫兔團,1,4,119.0,29.75,29.75
,D50100020,0-20牛肉米泥,冷凍粥飯,炫兔團,1,4,119.0,29.75,29.75
,D50100021,0-21絲瓜米泥,冷凍粥飯,炫兔團,1,4,119.0,29.75,29.75
,D50200001,1-01玉米菇菇雞蓉粥,冷凍粥飯,炫兔團,1,4,200.0,50.0,50.0
,D50200002,1-02雙瓜豬肉粥,冷凍粥飯,炫兔團,1,4,200.0,50.0,50.0
,D50200003,1-03紅蔔甜椒雞蓉粥,冷凍粥飯,炫兔團,1,4,200.0,50.0,50.0
,D50200004,1-04青翠白花豬豬粥,冷凍粥飯,炫兔團,1,4,200.0,50.0,50.0
,D50200005,1-05番茄野菇雞蓉粥,冷凍粥飯,炫兔團,1,4,200.0,50.0,50.0
,D50200006,1-06秋葵白菜牛肉粥,冷凍粥飯,炫兔團,1,4,200.0,50.0,50.0
,D50200007,1-07紫心豬豬粥,冷凍粥飯,炫兔團,1,4,200.0,50.0,50.0
,D50200008,1-08木耳海藻魚片粥,冷凍粥飯,炫兔團,1,4,200.0,50.0,50.0
,D50200009,1-09清甜美人粥,冷凍粥飯,炫兔團,1,4,200.0,50.0,50.0
,D50200010,1-10枸杞紅棗山藥粥,冷凍粥飯,炫兔團,1,4,200.0,50.0,50.0
,D50200011,1-11蔬菜鮭魚粥,冷凍粥飯,炫兔團,1,4,200.0,50.0,50.0
,D50300001,1P-01金黃根莖雞蓉大寶寶粥150g,冷凍粥飯,炫兔團,1,2,125.0,62.5,62.5
,D50300002,1P-02高麗野蔬雞蓉大寶寶粥150g,冷凍粥飯,炫兔團,1,2,125.0,62.5,62.5
,D50300003,1P-03豚未香菇豆腐大寶寶粥150g,冷凍粥飯,炫兔團,1,2,125.0,62.5,62.5
,D50300004,1P-04蔬菜鮭魚大寶寶粥150g,冷凍粥飯,炫兔團,1,2,125.0,62.5,62.5
,D50300005,1P-05元氣牛肉大寶寶粥150g,冷凍粥飯,炫兔團,1,2,125.0,62.5,62.5
,D50300006,1P-06絲瓜鱸魚大寶寶粥150g,冷凍粥飯,炫兔團,1,2,125.0,62.5,62.5
,D50300007,1P-07百蔬蛋黃大寶寶粥150g,冷凍粥飯,炫兔團,1,2,125.0,62.5,62.5
,D50300008,1P-08鮮魚野蕈大寶寶粥150g,冷凍粥飯,炫兔團,1,2,125.0,62.5,62.5
,D50300009,1P-09粉紅豬豬大寶寶粥150g,冷凍粥飯,炫兔團,1,2,125.0,62.5,62.5
,D50300010,1P-10四季春雞大寶寶粥150g,冷凍粥飯,炫兔團,1,2,125.0,62.5,62.5
,D50300011,1P-11紫金雞蓉大寶寶粥150g,冷凍粥飯,炫兔團,1,2,125.0,62.5,62.5
,D50300012,1P-12青花菇蕈大寶寶粥150g,冷凍粥飯,炫兔團,1,2,125.0,62.5,62.5
,D50300013,1P-13芹香牛奶魚大寶寶粥150g,冷凍粥飯,炫兔團,1,2,125.0,62.5,62.5
,D50300014,1P-14五彩雙嬌牛肉大寶寶粥150g,冷凍粥飯,炫兔團,1,2,125.0,62.5,62.5
,D50300015,1P-15紫玉豆豆雞蓉大寶寶粥150g,冷凍粥飯,炫兔團,1,2,125.0,62.5,62.5
,D50300016,1P-16豚末針菇大寶寶粥150g,冷凍粥飯,炫兔團,1,2,125.0,62.5,62.5
,D50300017,1P-17甘栗瓜瓜魚肉大寶寶粥150g,冷凍粥飯,炫兔團,1,2,125.0,62.5,62.5
,D50300018,1P-18蕃茄時蔬嫰雞大寶寶粥150g,冷凍粥飯,炫兔團,1,2,125.0,62.5,62.5
,D50400001,1P-01金黃根莖雞蓉大寶寶粥200g,冷凍粥飯,炫兔團,1,2,150.0,75.0,75.0
,D50400002,1P-02高麗野蔬雞蓉大寶寶粥200g,冷凍粥飯,炫兔團,1,2,150.0,75.0,75.0
,D50400003,1P-03豚未香菇豆腐大寶寶粥200g,冷凍粥飯,炫兔團,1,2,150.0,75.0,75.0
,D50400004,1P-04蔬菜鮭魚大寶寶粥200g,冷凍粥飯,炫兔團,1,2,150.0,75.0,75.0
,D50400005,1P-05元氣牛肉大寶寶粥200g,冷凍粥飯,炫兔團,1,2,150.0,75.0,75.0
,D50400006,1P-06絲瓜鱸魚大寶寶粥200g,冷凍粥飯,炫兔團,1,2,150.0,75.0,75.0
,D50400007,1P-07百蔬蛋黃大寶寶粥200g,冷凍粥飯,炫兔團,1,2,150.0,75.0,75.0
,D50400008,1P-08鮮魚野蕈大寶寶粥200g,冷凍粥飯,炫兔團,1,2,150.0,75.0,75.0
,D50400009,1P-09粉紅豬豬大寶寶粥200g,冷凍粥飯,炫兔團,1,2,150.0,75.0,75.0
,D50400010,1P-10四季春雞大寶寶粥200g,冷凍粥飯,炫兔團,1,2,150.0,75.0,75.0
,D50400011,1P-11紫金雞蓉大寶寶粥200g,冷凍粥飯,炫兔團,1,2,150.0,75.0,75.0
,D50400012,1P-12青花菇蕈大寶寶粥200g,冷凍粥飯,炫兔團,1,2,150.0,75.0,75.0
,D50400013,1P-13芹香牛奶魚大寶寶粥200g,冷凍粥飯,炫兔團,1,2,150.0,75.0,75.0
,D50400014,1P-14五彩雙嬌牛肉大寶寶粥200g,冷凍粥飯,炫兔團,1,2,150.0,75.0,75.0
,D50400015,1P-15紫玉豆豆雞蓉大寶寶粥200g,冷凍粥飯,炫兔團,1,2,150.0,75.0,75.0
,D50400016,1P-16豚末針菇大寶寶粥200g,冷凍粥飯,炫兔團,1,2,150.0,75.0,75.0
,D50400017,1P-17甘栗瓜瓜魚肉大寶寶粥200g,冷凍粥飯,炫兔團,1,2,150.0,75.0,75.0
,D50400018,1P-18蕃茄時蔬嫰雞大寶寶粥200g,冷凍粥飯,炫兔團,1,2,150.0,75.0,75.0
,D50500001,2-M寶貝義大利麵,冷凍粥飯,炫兔團,1,2,70.0,35.0,35.0
,D50500002,2-MS寶貝義大利麵(螺旋麵),冷凍粥飯,炫兔團,1,2,70.0,35.0,35.0
,D50500003,2-F寶貝米飯,冷凍粥飯,炫兔團,1,2,70.0,35.0,35.0
,D50500004,2-1醬燒什錦豬肉,冷凍粥飯,炫兔團,1,2,109.0,54.5,54.5
,D50500005,2-2鮮奶起司鮭魚,冷凍粥飯,炫兔團,1,2,109.0,54.5,54.5
,D50500006,2-3馬鈴薯燉牛肉,冷凍粥飯,炫兔團,1,2,109.0,54.5,54.5
,D50500007,2-4塔香虱目魚,冷凍粥飯,炫兔團,1,2,109.0,54.5,54.5
,D50500008,2-5咖哩雞肉,冷凍粥飯,炫兔團,1,2,109.0,54.5,54.5
,D50500009,2-6奶香南瓜雞肉,冷凍粥飯,炫兔團,1,2,109.0,54.5,54.5
,D50500010,2-7香菇豆腐雞肉煲,冷凍粥飯,炫兔團,1,2,109.0,54.5,54.5
,D50500011,2-8洋蔥魚片,冷凍粥飯,炫兔團,1,2,109.0,54.5,54.5
,D50500012,2-9金黃鮮燴絲瓜,冷凍粥飯,炫兔團,1,2,109.0,54.5,54.5
,D50500013,2-10百菇鮮豚,冷凍粥飯,炫兔團,1,2,109.0,54.5,54.5
,D50500014,2-11香甜玉米雞肉,冷凍粥飯,炫兔團,1,2,109.0,54.5,54.5
,D50600001,2-S1和風豚肉燉飯,冷凍粥飯,炫兔團,1,2,150.0,75.0,75.0
,D50600002,2-S2綠意什錦豬肉燉飯,冷凍粥飯,炫兔團,1,2,150.0,75.0,75.0
,D50600003,2-S3白醬魚片燉飯,冷凍粥飯,炫兔團,1,2,150.0,75.0,75.0
,D50600004,2-S4秋葵茄雞燉飯,冷凍粥飯,炫兔團,1,2,150.0,75.0,75.0
,D50600005,2-S5香菇雞湯燉飯,冷凍粥飯,炫兔團,1,2,150.0,75.0,75.0
,D50600006,2-S6羅宋牛肉燉飯,冷凍粥飯,炫兔團,1,2,150.0,75.0,75.0
,D50600007,2-S7鮭魚鮮燴燉飯,冷凍粥飯,炫兔團,1,2,150.0,75.0,75.0
,D50600008,2-S8豆豆美人燉飯,冷凍粥飯,炫兔團,1,2,150.0,75.0,75.0
,D50600009,2-S9蒜香蝦蝦燉飯,冷凍粥飯,炫兔團,1,2,150.0,75.0,75.0
,D50600010,2-S10五彩鮮魚燉飯,冷凍粥飯,炫兔團,1,2,150.0,75.0,75.0
,D50600011,2-S11田園雞肉燉飯,冷凍粥飯,炫兔團,1,2,150.0,75.0,75.0
,D50800001,A01金瓜紅藜鮭魚粥,冷凍粥飯,炫兔團,1,2,185.0,92.5,92.5
,D50800002,A02元氣蕃茄豬肉粥,冷凍粥飯,炫兔團,1,2,185.0,92.5,92.5
,D50800003,A03芹耳絲瓜鱸魚粥,冷凍粥飯,炫兔團,1,2,185.0,92.5,92.5
,D50800004,A04山藥海芽鱸魚粥,冷凍粥飯,炫兔團,1,2,185.0,92.5,92.5
,D50800005,A05秋葵棉腐雞肉粥,冷凍粥飯,炫兔團,1,2,185.0,92.5,92.5
,D50800006,A06薑薑好虱目魚粥,冷凍粥飯,炫兔團,1,2,185.0,92.5,92.5
,D50800007,A07什錦五彩豬肉粥,冷凍粥飯,炫兔團,1,2,185.0,92.5,92.5
,D50800008,A08羅宋甜麗牛肉粥,冷凍粥飯,炫兔團,1,2,185.0,92.5,92.5
,D50800009,A09地瓜香蘋蔬食粥,冷凍粥飯,炫兔團,1,2,185.0,92.5,92.5
,D50800010,A10紫薯洋芋蔬食粥,冷凍粥飯,炫兔團,1,2,185.0,92.5,92.5
,D50800011,A11棗滋養虱目魚粥,冷凍粥飯,炫兔團,1,2,185.0,92.5,92.5
,D50800012,A12甜菜香蘋鯛魚粥,冷凍粥飯,炫兔團,1,2,185.0,92.5,92.5
,D50900001,B01養氣蓮子香菇雞,冷凍粥飯,炫兔團,1,2,119.0,59.5,59.5
,D50900002,B02塔香肉燥,冷凍粥飯,炫兔團,1,2,119.0,59.5,59.5
,D50900003,B03蕃茄馬鈴薯燉肉,冷凍粥飯,炫兔團,1,2,119.0,59.5,59.5
,D50900004,B04哈佛蔬菜燴鮮魚,冷凍粥飯,炫兔團,1,2,119.0,59.5,59.5
,D50900005,B05山藥鮮蔬嫰雞,冷凍粥飯,炫兔團,1,2,119.0,59.5,59.5
,D51000001,C01懷舊高麗菜燉飯,冷凍粥飯,炫兔團,1,2,150.0,75.0,75.0
,D51000002,C02和風鮭魚彩蔬燉飯,冷凍粥飯,炫兔團,1,2,150.0,75.0,75.0
,D51000003,C03薑黃野菇蔬食燉飯,冷凍粥飯,炫兔團,1,2,150.0,75.0,75.0
,D51000004,C04麻香牛肉燉飯,冷凍粥飯,炫兔團,1,2,150.0,75.0,75.0
,D51000005,C05洋蔥鮮豚燉飯,冷凍粥飯,炫兔團,1,2,150.0,75.0,75.0
,D51000006,C06蜜薯嫰雞燉飯,冷凍粥飯,炫兔團,1,2,150.0,75.0,75.0
,E51010001,2-D01後元彩虹水餃,冷凍粥飯,炫兔團,1,1,119.0,119.0,119.0
,E51010002,2-D02寶寶後元饅頭,冷凍粥飯,炫兔團,1,1,129.0,129.0,129.0
,E51010003,2-D03寶寶後元蘿蔔糕,冷凍粥飯,炫兔團,1,1,149.0,149.0,149.0
,E52010004,咕手指餅乾-玉米米餅,冷凍粥飯,炫兔團,1,2,178.0,89.0,89.0
,E52010006,咕手指餅乾-紅黎米餅,冷凍粥飯,炫兔團,1,2,178.0,89.0,89.0
,E52010007,寶寶豬肉鬆,冷凍粥飯,炫兔團,1,1,99.0,99.0,99.0
,E52010008,單入滴雞精,冷凍粥飯,炫兔團,1,1,159.0,159.0,159.0
,F50100021,滴雞精3入,組合,炫兔團,1,3,439.0,146.3333333333,439.0
,D50800001,A01金瓜紅藜鮭魚粥,冷凍粥飯,麗采,1,2,164.0,82.0,82.0
,D50800002,A02元氣蕃茄豬肉粥,冷凍粥飯,麗采,1,2,164.0,82.0,82.0
,D50800003,A03芹耳絲瓜鱸魚粥,冷凍粥飯,麗采,1,2,164.0,82.0,82.0
,D50800004,A04山藥海芽鱸魚粥,冷凍粥飯,麗采,1,2,164.0,82.0,82.0
,D50800005,A05秋葵棉腐雞肉粥,冷凍粥飯,麗采,1,2,164.0,82.0,82.0
,D50800006,A06薑薑好虱目魚粥,冷凍粥飯,麗采,1,2,164.0,82.0,82.0
,D50800007,A07什錦五彩豬肉粥,冷凍粥飯,麗采,1,2,164.0,82.0,82.0
,D50800008,A08羅宋甜麗牛肉粥,冷凍粥飯,麗采,1,2,164.0,82.0,82.0
,D50800009,A09地瓜香蘋蔬食粥,冷凍粥飯,麗采,1,2,164.0,82.0,82.0
,D50800010,A10紫薯洋芋蔬食粥,冷凍粥飯,麗采,1,2,164.0,82.0,82.0
,D50800011,A11棗滋養虱目魚粥,冷凍粥飯,麗采,1,2,164.0,82.0,82.0
,D50800012,A12甜菜香蘋鯛魚粥,冷凍粥飯,麗采,1,2,164.0,82.0,82.0
,D50900001,B01養氣蓮子香菇雞,冷凍粥飯,麗采,1,2,105.0,52.5,52.5
,D50900002,B02塔香肉燥,冷凍粥飯,麗采,1,2,105.0,52.5,52.5
,D50900003,B03蕃茄馬鈴薯燉肉,冷凍粥飯,麗采,1,2,105.0,52.5,52.5
,D50900004,B04哈佛蔬菜燴鮮魚,冷凍粥飯,麗采,1,2,105.0,52.5,52.5
,D50900005,B05山藥鮮蔬嫰雞,冷凍粥飯,麗采,1,2,105.0,52.5,52.5
,D51000001,C01懷舊高麗菜燉飯,冷凍粥飯,麗采,1,2,135.0,67.5,67.5
,D51000002,C02和風鮭魚彩蔬燉飯,冷凍粥飯,麗采,1,2,135.0,67.5,67.5
,D51000003,C03薑黃野菇蔬食燉飯,冷凍粥飯,麗采,1,2,135.0,67.5,67.5
,D51000004,C04麻香牛肉燉飯,冷凍粥飯,麗采,1,2,135.0,67.5,67.5
,D51000005,C05洋蔥鮮豚燉飯,冷凍粥飯,麗采,1,2,135.0,67.5,67.5
,D51000006,C06蜜薯嫰雞燉飯,冷凍粥飯,麗采,1,2,135.0,67.5,67.5
4710586220018.0,D50100001,0-1純米泥,冷凍粥飯,麗采,1,4,104.0,26.0,26.0
4710586220025.0,D50100002,0-2南瓜米泥,冷凍粥飯,麗采,1,4,104.0,26.0,26.0
4710586220032.0,D50100003,0-3地瓜米泥,冷凍粥飯,麗采,1,4,104.0,26.0,26.0
4710586220049.0,D50100004,0-4馬鈴薯米泥,冷凍粥飯,麗采,1,4,104.0,26.0,26.0
4710586220056.0,D50100005,0-5紅蘿蔔米泥,冷凍粥飯,麗采,1,4,104.0,26.0,26.0
4710586220063.0,D50100006,0-6甜菜根米泥,冷凍粥飯,麗采,1,4,104.0,26.0,26.0
4710586220070.0,D50100007,0-7山藥米泥,冷凍粥飯,麗采,1,4,104.0,26.0,26.0
4710586220087.0,D50100008,0-8青江菜米泥,冷凍粥飯,麗采,1,4,104.0,26.0,26.0
4710586220094.0,D50100009,0-9小松葉米泥,冷凍粥飯,麗采,1,4,104.0,26.0,26.0
4710586220100.0,D50100010,0-10青花椰菜米泥,冷凍粥飯,麗采,1,4,104.0,26.0,26.0
4710586220117.0,D50100011,0-11高麗菜米泥,冷凍粥飯,麗采,1,4,104.0,26.0,26.0
4710586220124.0,D50100012,0-12黑木耳米泥,冷凍粥飯,麗采,1,4,104.0,26.0,26.0
4710586220148.0,D50100013,0-13洋蔥米泥,冷凍粥飯,麗采,1,4,104.0,26.0,26.0
4710586220162.0,D50100015,0-15蘋果米泥,冷凍粥飯,麗采,1,4,104.0,26.0,26.0
4710586220179.0,D50100016,0-16水梨米泥,冷凍粥飯,麗采,1,4,104.0,26.0,26.0
4710586220186.0,D50100017,0-17雞肉米泥,冷凍粥飯,麗采,1,4,104.0,26.0,26.0
4710586220193.0,D50100018,0-18豬肉米泥,冷凍粥飯,麗采,1,4,104.0,26.0,26.0
4710586220209.0,D50100019,0-19鯛魚米泥,冷凍粥飯,麗采,1,4,104.0,26.0,26.0
4710586220216.0,D50100020,0-20牛肉米泥,冷凍粥飯,麗采,1,4,104.0,26.0,26.0
4710586220223.0,D50100021,0-21絲瓜米泥,冷凍粥飯,麗采,1,4,104.0,26.0,26.0
4710586220971.0,D50200001,1-01玉米菇菇雞蓉粥,冷凍粥飯,麗采,1,4,180.0,45.0,45.0
4710586220506.0,D50200002,1-02雙瓜豬肉粥,冷凍粥飯,麗采,1,4,180.0,45.0,45.0
4710586220537.0,D50200003,1-03紅蔔甜椒雞蓉粥,冷凍粥飯,麗采,1,4,180.0,45.0,45.0
4710586220957.0,D50200004,1-04青翠白花豬豬粥,冷凍粥飯,麗采,1,4,180.0,45.0,45.0
4710586220575.0,D50200005,1-05番茄野菇雞蓉粥,冷凍粥飯,麗采,1,4,180.0,45.0,45.0
4710586220698.0,D50200006,1-06秋葵白菜牛肉粥,冷凍粥飯,麗采,1,4,180.0,45.0,45.0
4710586220834.0,D50200007,1-07紫心豬豬粥,冷凍粥飯,麗采,1,4,180.0,45.0,45.0
4710586220636.0,D50200008,1-08木耳海藻魚片粥,冷凍粥飯,麗采,1,4,180.0,45.0,45.0
4710586220919.0,D50200009,1-09清甜美人粥,冷凍粥飯,麗采,1,4,180.0,45.0,45.0
4710586220773.0,D50200010,1-10枸杞紅棗山藥粥,冷凍粥飯,麗采,1,4,180.0,45.0,45.0
4710586220797.0,D50200011,1-11蔬菜鮭魚粥,冷凍粥飯,麗采,1,4,180.0,45.0,45.0
4710586221015.0,D50300001,1P-01金黃根莖雞蓉大寶寶粥150g,冷凍粥飯,麗采,1,2,112.6,56.3,56.3
4710586221039.0,D50300002,1P-02高麗野蔬雞蓉大寶寶粥150g,冷凍粥飯,麗采,1,2,112.6,56.3,56.3
